The Verifier - November 2018. Data as of December 7, 2025.
FIPS code,State,Jurisdiction,Equipment Type,Manufacturer,Model,First Year in Use,QR/Barcode,VVPAT,Election Day Standard,Election Day Accessible,Early Voting Standard,Early Voting Accessible,Mail Ballot/Absentee Equipment,Notes on usage
"0102500000","Alabama","Clarke County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0102500000","Alabama","Clarke County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0102500000","Alabama","Clarke County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0102500000","Alabama","Clarke County","Commercial Electronic Poll Book","ES&S","ExpressPoll","","N/A","N/A","Yes","No","No","No","No","",
"0102700000","Alabama","Clay County","Hand-Fed Optical Scanner","ES&S","Model 100","2004","N/A","N/A","Yes","No","No","No","Yes","",
"0102700000","Alabama","Clay County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0102700000","Alabama","Clay County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0102700000","Alabama","Clay County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0102900000","Alabama","Cleburne County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0102900000","Alabama","Cleburne County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0102900000","Alabama","Cleburne County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0102900000","Alabama","Cleburne County","Commercial Electronic Poll Book","ES&S","ExpressPoll","","N/A","N/A","Yes","No","No","No","No","",
"0103100000","Alabama","Coffee County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0103100000","Alabama","Coffee County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0103100000","Alabama","Coffee County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0103100000","Alabama","Coffee County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0103300000","Alabama","Colbert County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0103300000","Alabama","Colbert County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0103300000","Alabama","Colbert County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0103300000","Alabama","Colbert County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0103500000","Alabama","Conecuh County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0103500000","Alabama","Conecuh County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0103500000","Alabama","Conecuh County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0103500000","Alabama","Conecuh County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0103700000","Alabama","Coosa County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0103700000","Alabama","Coosa County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0103700000","Alabama","Coosa County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0103700000","Alabama","Coosa County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0103900000","Alabama","Covington County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0103900000","Alabama","Covington County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0103900000","Alabama","Covington County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0103900000","Alabama","Covington County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0104100000","Alabama","Crenshaw County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0104100000","Alabama","Crenshaw County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0104100000","Alabama","Crenshaw County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0104100000","Alabama","Crenshaw County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0104300000","Alabama","Cullman County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0104300000","Alabama","Cullman County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0104300000","Alabama","Cullman County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0104300000","Alabama","Cullman County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0104500000","Alabama","Dale County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0104500000","Alabama","Dale County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0104500000","Alabama","Dale County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0104500000","Alabama","Dale County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0104700000","Alabama","Dallas County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0104700000","Alabama","Dallas County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0104700000","Alabama","Dallas County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0104700000","Alabama","Dallas County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0104900000","Alabama","DeKalb County","Hand-Fed Optical Scanner","ES&S","Model 100","2006","N/A","N/A","Yes","No","No","No","Yes","",
"0104900000","Alabama","DeKalb County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0104900000","Alabama","DeKalb County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0104900000","Alabama","DeKalb County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0105100000","Alabama","Elmore County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0105100000","Alabama","Elmore County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0105100000","Alabama","Elmore County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0105100000","Alabama","Elmore County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0105300000","Alabama","Escambia County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0105300000","Alabama","Escambia County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0105300000","Alabama","Escambia County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0105300000","Alabama","Escambia County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0105500000","Alabama","Etowah County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0105500000","Alabama","Etowah County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0105500000","Alabama","Etowah County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0105500000","Alabama","Etowah County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0105700000","Alabama","Fayette County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0105700000","Alabama","Fayette County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0105700000","Alabama","Fayette County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0105700000","Alabama","Fayette County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0105900000","Alabama","Franklin County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0105900000","Alabama","Franklin County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0105900000","Alabama","Franklin County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0105900000","Alabama","Franklin County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0106100000","Alabama","Geneva County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0106100000","Alabama","Geneva County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0106100000","Alabama","Geneva County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0106100000","Alabama","Geneva County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0106300000","Alabama","Greene County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0106300000","Alabama","Greene County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0106300000","Alabama","Greene County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0106300000","Alabama","Greene County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0106500000","Alabama","Hale County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0106500000","Alabama","Hale County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0106500000","Alabama","Hale County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0106500000","Alabama","Hale County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0106700000","Alabama","Henry County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0106700000","Alabama","Henry County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0106700000","Alabama","Henry County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0106700000","Alabama","Henry County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0106900000","Alabama","Houston County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0106900000","Alabama","Houston County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0106900000","Alabama","Houston County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0106900000","Alabama","Houston County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0107100000","Alabama","Jackson County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0107100000","Alabama","Jackson County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0107100000","Alabama","Jackson County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0107100000","Alabama","Jackson County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0107300000","Alabama","Jefferson County","Hand-Fed Optical Scanner","ES&S","DS200","2018","N/A","N/A","Yes","No","No","No","No","",
"0107300000","Alabama","Jefferson County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0107300000","Alabama","Jefferson County","Batch-Fed Optical Scanner","ES&S","DS850","2018","N/A","N/A","No","No","No","No","Yes","",
"0107300000","Alabama","Jefferson County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0107300000","Alabama","Jefferson County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0107500000","Alabama","Lamar County","Hand-Fed Optical Scanner","ES&S","Model 100","2004","N/A","N/A","Yes","No","No","No","Yes","",
"0107500000","Alabama","Lamar County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0107500000","Alabama","Lamar County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0107500000","Alabama","Lamar County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0107700000","Alabama","Lauderdale County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0107700000","Alabama","Lauderdale County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0107700000","Alabama","Lauderdale County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0107700000","Alabama","Lauderdale County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0107900000","Alabama","Lawrence County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0107900000","Alabama","Lawrence County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0107900000","Alabama","Lawrence County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0107900000","Alabama","Lawrence County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0108100000","Alabama","Lee County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0108100000","Alabama","Lee County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0108100000","Alabama","Lee County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0108100000","Alabama","Lee County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0108300000","Alabama","Limestone County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0108300000","Alabama","Limestone County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0108300000","Alabama","Limestone County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0108300000","Alabama","Limestone County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0108500000","Alabama","Lowndes County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0108500000","Alabama","Lowndes County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0108500000","Alabama","Lowndes County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0108500000","Alabama","Lowndes County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0108700000","Alabama","Macon County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0108700000","Alabama","Macon County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0108700000","Alabama","Macon County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0108700000","Alabama","Macon County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0108900000","Alabama","Madison County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0108900000","Alabama","Madison County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0108900000","Alabama","Madison County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0108900000","Alabama","Madison County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0109100000","Alabama","Marengo County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0109100000","Alabama","Marengo County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0109100000","Alabama","Marengo County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0109100000","Alabama","Marengo County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0109300000","Alabama","Marion County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0109300000","Alabama","Marion County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0109300000","Alabama","Marion County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0109300000","Alabama","Marion County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0109500000","Alabama","Marshall County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0109500000","Alabama","Marshall County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0109500000","Alabama","Marshall County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0109500000","Alabama","Marshall County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0109700000","Alabama","Mobile County","Hand-Fed Optical Scanner","ES&S","Model 100","2006","N/A","N/A","Yes","No","No","No","No","",
"0109700000","Alabama","Mobile County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0109700000","Alabama","Mobile County","Batch-Fed Optical Scanner","ES&S","DS850","2018","N/A","N/A","No","No","No","No","Yes","",
"0109700000","Alabama","Mobile County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0109700000","Alabama","Mobile County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0109900000","Alabama","Monroe County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
